day_of_week,time
Sunday,19:20:47
Wednesday,15:55:05
Saturday,21:15:31
Monday,00:34:56
Sunday,12:25:27
Friday,00:38:33
Friday,18:15:24
Sunday,09:09:36
Tuesday,03:13:22
Sunday,02:26:30
Thursday,00:33:28
Thursday,12:02:23
Wednesday,17:24:10
Wednesday,11:46:06
Thursday,19:57:38
Thursday,23:16:49
Thursday,20:01:34
Friday,12:32:13
Sunday,23:16:33
Sunday,00:59:15
Monday,03:03:59
Sunday,07:27:41
Saturday,10:54:33
Friday,20:39:08
Friday,20:21:32
Wednesday,13:10:47
Saturday,11:04:36
Wednesday,11:32:52
Tuesday,18:40:30
Tuesday,20:33:00
Monday,00:31:20
Wednesday,09:30:18
Tuesday,10:06:55
Wednesday,16:37:30
Saturday,11:35:37
Thursday,20:43:37
Sunday,14:41:32
Thursday,17:57:34
Sunday,21:41:11
Saturday,04:11:32
Thursday,05:52:43
Tuesday,00:41:14
Friday,23:59:15
Saturday,21:35:55
Saturday,19:55:26
Wednesday,06:19:20
Thursday,01:01:37
Monday,11:21:48
Monday,23:16:48
Tuesday,20:58:46
Sunday,01:04:03
Sunday,21:54:26
Friday,01:29:33
Tuesday,18:50:21
Monday,20:05:04
Saturday,19:03:34
Thursday,02:54:07
Wednesday,23:18:13
Wednesday,21:16:32
Tuesday,01:38:15
Tuesday,01:36:30
Thursday,14:27:31
Friday,13:53:41
Saturday,21:29:45
Wednesday,20:44:01
Friday,14:56:52
Tuesday,22:39:32
Sunday,06:12:51
Tuesday,00:18:52
Monday,23:57:31
Sunday,09:34:48
Thursday,21:28:34
Friday,16:18:35
Thursday,23:23:01
Wednesday,14:21:07
Thursday,22:32:55
Thursday,22:21:08
Monday,19:05:46
Monday,16:45:21
Tuesday,16:28:50
Tuesday,08:39:26
Sunday,11:05:21
Saturday,21:37:23
Thursday,23:01:50
Thursday,14:59:30
Saturday,16:20:01
Saturday,15:50:28
Saturday,15:26:08
Sunday,02:35:59
Thursday,16:57:54
Sunday,11:42:43
Friday,00:18:02
Friday,01:42:57
Wednesday,19:36:30
